id,country,year,gdp_change,sentiment,source,headline,sentiment_label,text_length
111,Mongolia,2015,0.28,Neutral,Reuters,Mongolia GDP growth remains stable at 0.28% in 2015.,1,52
36,Pakistan,2021,0.38,Neutral,Nikkei Asia,Pakistan's economy shows mixed signals with 0.38% GDP change in 2021.,1,69
40,China,2021,7.52,Neutral,Reuters,China GDP growth remains stable at 0.09% in 2021.,1,49
83,Vietnam,2017,0.48,Neutral,Bloomberg,Analysts predict 0.48% growth for Vietnam in 2017.,1,50
65,Indonesia,2016,9.28,Positive,AP News,Investors optimistic as Indonesia records 9.28% economic expansion in 2016.,2,75
61,South Korea,2019,3.4,Neutral,Reuters,Analysts predict 3.4% growth for South Korea in 2019.,1,53
100,Pakistan,2016,2.23,Neutral,Bloomberg,Pakistan maintains steady 2.23% economic growth in 2016.,1,56
27,Thailand,2019,7.31,Neutral,Nikkei Asia,Thailand GDP growth remains stable at 1.99% in 2019.,1,52
14,India,2015,8.47,Positive,Nikkei Asia,India outperforms expectations with 8.47% GDP growth amid global uncertainty in 2015.,2,85
51,Japan,2017,0.97,Neutral,Reuters,Japan maintains steady 0.97% economic growth in 2017.,1,53
107,Indonesia,2019,8.83,Positive,Reuters,Strong domestic consumption pushes Indonesia growth to 8.83% in 2019.,2,69
34,India,2013,2.77,Positive,Bloomberg,"India's GDP growth accelerated to 11.33% in 2013, driven by strong export demand.",2,81
58,Philippines,2020,8.49,Positive,Unknown,Philippines economy rebounds in 2020 as manufacturing sector surges 8.49%.,2,74
3,Mongolia,2021,3.465,Neutral,Bloomberg,IMF revises Mongolia growth forecast to 2.13% for 2021.,1,55
50,Malaysia,2018,0.19,Neutral,AP News,Analysts predict 0.19% growth for Malaysia in 2018.,1,51
110,India,2017,2.45,Neutral,Bloomberg,IMF revises India growth forecast to 2.45% for 2017.,1,52
52,Japan,2017,-1.96,Negative,AP News,Japan faces recession fears after GDP drops 1.96% in 2017.,0,58
71,Thailand,2019,7.31,Positive,Nikkei Asia,Thailand outperforms expectations with 7.31% GDP growth amid global uncertainty in 2019.,2,88
66,Malaysia,2014,7.13,Positive,Bloomberg,Malaysia economy rebounds in 2014 as manufacturing sector surges 7.13%.,2,71
43,Thailand,2015,5.83,Positive,Unknown,Investors optimistic as Thailand records 5.83% economic expansion in 2015.,2,74
35,Vietnam,2014,11.01,Positive,Nikkei Asia,Strong domestic consumption pushes Vietnam growth to 11.01% in 2014.,2,68
67,India,2016,1.51,Neutral,Unknown,Analysts predict 1.51% growth for India in 2016.,1,48
119,Thailand,2014,7.31,Neutral,Bloomberg,Thailand outperforms expectations with 9.86% GDP growth amid global uncertainty in 2014.,1,88
